order_book_id,board_type,sector_code,yield_rate,date,month,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,operating_revenue_growth_ratio_ttm,net_profit_growth_ratio_ttm,gross_profit_margin_ttm,total_asset_turnover_ttm,cash_ratio_lf,current_ratio_lf,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
300300.XSHE,GEM,InformationTechnology,-0.029997359387377798,2018-01-02,0,0.004645360168574879,3.5424890502414055,0.044442685331658766,-0.43010211897214323,-0.20982495556481207,0.30675014566163644,0.09918099122803639,0.4856851505609627,1.6549465811683886,-0.008985542722399487,0.12140800883693499,-0.26078710311866893,32.27091633466134,44.44444444444444,-2.720952190209151,1.2580983944143733,1.3337724129543194,1.4033010236807042,0.34418536428291835,0.5688471421018163,131.6546762589927,98.16793893129744
300517.XSHE,GEM,Industrials,0.009743546873984155,2018-01-02,0,0.018722427060641974,3.3366389924748017,0.17069545136608633,-0.15000027536050853,-0.18561314138839113,0.23392135007228534,0.3533443933745528,0.5108729811736699,1.866170734654892,-0.6665150745491957,-0.8012985203825242,0.26956689166665715,55.497382198952906,33.33333333333333,-1.027266962587176,2.867690199962452,5.297110848758294,4.918989781631828,0.5709872042267287,2.336655642635339,78.54545454545463,65.84269662921358
000982.XSHE,MainBoard,ConsumerDiscretionary,0.032608695652173836,2018-01-02,0,-0.1690095185653272,4.012311121974758,0.3922119355521317,-0.17964416724800636,-0.07693586730221358,0.13639045450382697,0.22553331851020725,0.04196180414613953,0.5898970067239725,0.01109715741978956,0.023871726518675543,-0.025549138197771964,51.041666666666664,44.44444444444444,1.0295126973232447,0.9642496795409492,0.9572771726691585,1.2421834725067997,0.11011357772744823,0.363870281722595,119.67213114754081,142.55319148936164
000818.XSHE,MainBoard,Materials,-0.058159377264545675,2018-01-02,0,0.020748941824169396,3.968755515186791,0.3451865375413372,0.28069563811876175,0.8858546815567396,0.20935796611810947,1.150072421591227,0.7034781998240619,1.9839252785097805,0.2952500522494397,0.19435054461547946,0.20179901526792043,84.11764705882354,66.66666666666666,9.155365019168144,1.1284403964870968,1.0933937568512824,1.4016666460700025,0.39335117328004576,0.40735550174223417,101.2106537530266,102.67639902676376
600159.XSHG,MainBoard,RealEstate,0.02842477094602036,2018-01-02,0,-0.013276861814743229,1.466430276275865,0.19415032482762087,-0.38791067410471125,-1.294912155640212,0.1165305894487802,0.20667136768408675,0.4120936342346507,3.1120556202321668,-0.029024241931007833,-0.058118390990108765,0.058188298118201864,70.27027027027023,66.66666666666666,3.0214295221615908,0.3446259663189873,0.43781533188799643,0.7990992972837448,0.06466696080483486,0.35673927980165426,148.31460674157307,107.47663551401878
603196.XSHG,MainBoard,ConsumerDiscretionary,-0.010245790454142534,2018-01-02,0,0.03107994765358362,4.0800350648935755,0.3677565536191695,,,,1.129900032600562,0.42284511451759704,5.092441111673549,-0.2559874155679971,-0.30609037674929995,0.10020592236260573,54.28571428571431,44.44444444444444,-1.1345902399932297,4.183673198780559,4.838874404233337,6.558078877448619,0.4239114189384859,0.9305941680545441,140.2499999999997,99.38650306748454
600776.XSHG,MainBoard,InformationTechnology,0.068589025755879,2018-01-02,0,0.0101897772509084,3.075806813852152,0.18700348059701974,-0.42622222772050355,-0.3155276914020497,0.24552693191284697,0.45626651435713744,0.80719301468701,4.075150811313979,-0.08347577249687177,-0.02634859111312323,-0.11425436276749708,30.82706766917294,44.44444444444444,-3.302825308396323,1.8799373920919844,1.9227698690028623,1.4960857531964582,0.27467284019228333,0.36182984756245995,110.57934508816123,65.24271844660203
000779.XSHE,MainBoard,Utilities,0.029058566192980306,2018-01-02,0,0.05705076939910658,10.67082570582322,0.11009043627331484,0.279774009344659,-2.4399930625027366,0.1233276906457651,0.40423227897392,0.2293674641079913,0.9473243153694625,-0.4177721793594831,-0.46516240057058367,0.09478044242220118,40.27777777777772,44.44444444444444,-0.20863538314652075,0.6301751000773709,1.4160755967366416,1.3489323534410773,0.27174823874983434,1.2196182949226664,70.979020979021,55.34591194968554
600112.XSHG,MainBoard,Industrials,,2018-01-02,0,-0.0349870526808728,2.1028257792533775,0.26481872786147415,0.18280148671234153,-0.49955105362660146,0.271087596310429,0.23844728575499355,0.07057077676752994,0.7483762153829365,,,,,,,,,,,,,
300419.XSHE,GEM,InformationTechnology,-0.02492146815416263,2018-01-02,0,0.01762098813637239,2.406723300500305,0.14187395081284995,0.2271861461686402,-0.0705257539942612,0.27626150005912675,0.28759980535207813,0.9156492660421566,3.2441756140436944,-0.36627040118098364,-0.25198311130436374,-0.2285745797532398,25.365853658536576,44.44444444444444,-7.917383820998289,1.8994464378592968,2.161272864158461,3.3269071196472058,0.5772574836053779,0.5448410401243186,80.9895833333334,76.94174757281557
